dataset,depth,approach,optimizer,learning_rate,run_idx,seed,test_acc,test_ce,val_acc,val_ce
car,6,ffnn_0layer,adam,0.001,2,1318,0.7341040372848511,1.2716950178146362,0.7572253942489624,1.2632163763046265
car,6,ffnn_0layer,adam,0.001,3,1360,0.7341040372848511,1.2716951370239258,0.7572253942489624,1.2632191181182861
car,6,ffnn_0layer,adam,0.001,4,1402,0.7572253942489624,1.2705655097961426,0.7572253942489624,1.2655322551727295
car,6,ffnn_0layer,adam,0.001,5,1444,0.7341040372848511,1.2716878652572632,0.7572253942489624,1.2632111310958862
car,6,ffnn_0layer,adam,0.005,1,1276,0.7341040372848511,1.2716848850250244,0.7572253942489624,1.2632147073745728
car,6,ffnn_0layer,adam,0.005,2,1318,0.7341040372848511,1.271706223487854,0.7572253942489624,1.2632249593734741
car,6,ffnn_0layer,adam,0.005,3,1360,0.7341040372848511,1.2717258930206299,0.7572253942489624,1.2632418870925903
car,6,ffnn_0layer,adam,0.005,4,1402,0.7341040372848511,1.2717080116271973,0.7572253942489624,1.2632274627685547
car,6,ffnn_0layer,adam,0.005,5,1444,0.7341040372848511,1.2716550827026367,0.7572253942489624,1.2631824016571045
car,6,ffnn_0layer,adam,0.01,1,1276,0.7341040372848511,1.2716912031173706,0.7572253942489624,1.2632222175598145
car,6,ffnn_0layer,adam,0.01,2,1318,0.7341040372848511,1.2717158794403076,0.7572253942489624,1.263230562210083
car,6,ffnn_0layer,adam,0.01,3,1360,0.7572253942489624,1.2705707550048828,0.7572253942489624,1.265542984008789
car,6,ffnn_0layer,adam,0.01,4,1402,0.7341040372848511,1.2716782093048096,0.7572253942489624,1.263200283050537
car,6,ffnn_0layer,adam,0.01,5,1444,0.7341040372848511,1.2716678380966187,0.7572253942489624,1.2631919384002686
car,6,ffnn_0layer,adam,0.05,1,1276,0.7572253942489624,1.2706178426742554,0.7572253942489624,1.2655516862869263
car,6,ffnn_0layer,adam,0.05,2,1318,0.7341040372848511,1.2716883420944214,0.7572253942489624,1.2632160186767578
car,6,ffnn_0layer,adam,0.05,3,1360,0.7572253942489624,1.2705615758895874,0.7572253942489624,1.265520691871643
car,6,ffnn_0layer,adam,0.05,4,1402,0.7341040372848511,1.2717070579528809,0.7572253942489624,1.2632471323013306
car,6,ffnn_0layer,adam,0.05,5,1444,0.7572253942489624,1.2706406116485596,0.7572253942489624,1.265574336051941
car,6,ffnn_0layer,adam,0.1,1,1276,0.7341040372848511,1.2716532945632935,0.7572253942489624,1.2631932497024536
car,6,ffnn_0layer,adam,0.1,2,1318,0.7572253942489624,1.2704615592956543,0.7572253942489624,1.2656141519546509
car,6,ffnn_0layer,adam,0.1,3,1360,0.7341040372848511,1.2716028690338135,0.7572253942489624,1.2631441354751587
car,6,ffnn_0layer,adam,0.1,4,1402,0.7341040372848511,1.2717236280441284,0.7572253942489624,1.2632417678833008
car,6,ffnn_0layer,adam,0.1,5,1444,0.7572253942489624,1.270851731300354,0.7572253942489624,1.2657145261764526
car,6,ffnn_0layer,sgd,0.001,1,1276,0.7283236980438232,1.2960032224655151,0.7283236980438232,1.2948284149169922
car,6,ffnn_0layer,sgd,0.001,2,1318,0.7167630195617676,1.291042685508728,0.7283236980438232,1.2860636711120605
car,6,ffnn_0layer,sgd,0.001,3,1360,0.7225433588027954,1.2834045886993408,0.7456647157669067,1.2764359712600708
car,6,ffnn_0layer,sgd,0.001,4,1402,0.7283236980438232,1.2833335399627686,0.7456647157669067,1.2793537378311157
car,6,ffnn_0layer,sgd,0.001,5,1444,0.7341040372848511,1.2949182987213135,0.7341040372848511,1.2919434309005737
car,6,ffnn_0layer,sgd,0.005,1,1276,0.7283236980438232,1.2959601879119873,0.7283236980438232,1.2948452234268188
car,6,ffnn_0layer,sgd,0.005,2,1318,0.7167630195617676,1.2896859645843506,0.7283236980438232,1.284664511680603
car,6,ffnn_0layer,sgd,0.005,3,1360,0.7225433588027954,1.2797131538391113,0.7572253942489624,1.2722735404968262
car,6,ffnn_0layer,sgd,0.005,4,1402,0.7225433588027954,1.2828891277313232,0.7341040372848511,1.2789874076843262
